"Circo","Inscrits","Votants","Blancs","Nuls","ARTHAUD","ASSELINEAU","CHEMINADE","DUPONT-AIGNAN","FILLON","HAMON","LASSALLE","LE PEN","MACRON","MÉLENCHON","POUTOU"
"17-01",103263,81171,1189,396,378,624,134,2947,17634,5954,843,10383,23118,16783,788
"17-02",104381,83762,1570,598,561,617,137,4435,14520,5052,1144,16379,20357,17226,1166
"17-03",82251,65128,1190,664,534,541,133,3589,11628,3805,888,14216,14388,12669,883
"17-04",89934,72053,1299,615,538,567,133,4198,14787,3243,1189,18011,14995,11514,964
"17-05",111545,89906,1588,643,565,671,156,5180,20120,3979,1218,21833,18534,14342,1077
"18-01",72597,56523,1265,373,467,475,113,2934,12129,3013,594,11979,12659,9846,676
"18-02",70195,53656,1204,419,540,446,87,2637,8570,2695,510,12701,11445,11765,637
"18-03",86222,67894,1527,602,623,558,145,3983,12267,3449,821,17073,13971,12082,793
"19-01",92693,76425,1792,1019,553,520,184,3532,11967,4793,2386,12448,19440,16492,1299
"19-02",92584,74553,1635,918,498,574,145,3517,13460,4470,1867,12805,19778,13866,1020
"21-01",68424,56085,813,235,258,499,84,2286,14018,3871,403,7687,15517,9992,422
"21-02",68736,55374,1004,312,297,450,94,2754,10810,3428,440,11842,13249,10165,529
"21-03",70355,56394,1028,341,329,505,102,2934,9149,3650,413,12789,13312,11346,496
"21-04",68753,55860,1057,399,481,457,106,3199,11400,2731,654,14391,11012,9278,695
"21-05",84386,68267,1232,434,430,546,123,3807,15247,3130,725,17493,14346,10078,676
"22-01",89797,74412,1233,534,499,476,124,2768,12132,6771,536,10397,22472,15489,981
"22-02",96816,82742,1361,612,629,551,139,3603,17420,6179,720,13994,21777,14729,1028
"22-03",86758,74309,1323,684,621,472,120,3694,13897,5113,656,13764,20080,12844,1041
"22-04",78648,66123,1142,599,677,400,114,2633,9113,5957,764,11226,16855,15373,1270
"22-05",103941,86754,1303,580,602,580,124,3260,16354,8240,878,12322,23785,17578,1148
"23-01",93113,73196,1950,995,684,580,174,3521,12637,5494,1352,13966,15807,14827,1209
"24-01",76207,61235,1156,628,364,503,105,2593,9410,3997,1204,11980,13597,14868,830
"24-02",82465,66306,1128,625,385,547,131,3003,11345,3610,1730,15374,14184,13364,880
"24-03",67497,56140,1334,716,430,401,116,2623,9653,3293,1315,11660,11625,12127,847
"24-04",87851,72819,1429,774,447,677,138,3205,12102,4883,1801,13030,16539,16773,1021
"25-01",75233,59287,1046,374,370,560,92,2618,10767,4182,427,11514,14415,12293,629
"25-02",78335,63004,1180,387,379,592,143,2679,12953,4255,503,11213,15473,12551,696
"25-03",65897,51615,1186,424,413,561,77,2665,10344,2439,467,14136,10096,8123,684
"25-04",66908,51217,1045,461,508,650,85,2557,7912,2745,429,15651,9669,8881,624
"25-05",82028,67079,1350,570,381,766,133,4214,17953,2697,706,14121,14301,8955,932
"26-01",75247,58782,1033,465,331,635,84,2692,11526,3942,553,11222,13978,11716,605
"26-02",93273,73412,1365,546,416,729,132,3912,12826,3522,915,20262,14825,13238,724
"26-03",106778,88172,1627,561,541,871,164,4171,15557,5671,1520,18229,18613,19543,1104
"26-04",94191,75910,1442,497,908,753,153,4222,13494,4250,880,19283,15798,13489,741
"27-01",86358,68871,1137,508,536,605,113,3882,13514,3232,536,19642,13361,11098,707
"27-02",78432,64229,1154,464,524,481,125,3442,12004,3202,454,18044,12856,10721,758
"27-03",84440,69339,1202,538,550,520,120,4039,13552,3056,553,20409,12812,11165,823
"27-04",89885,71872,1325,518,498,648,111,4054,11315,3931,488,19771,14352,13989,872
"27-05",88418,71004,1188,506,525,673,133,3679,13051,3578,571,20851,13605,11871,773
"28-01",89168,72251,1343,416,442,750,126,4112,15916,4184,587,14190,17714,11776,695
"28-02",74281,57111,1027,404,400,633,107,3098,11122,3114,408,14728,11048,10457,565
"28-03",70797,56522,1085,413,465,437,112,3391,11909,2817,465,14345,11946,8486,651
"28-04",67220,55108,1078,447,510,433,109,3502,12328,2202,482,15623,10330,7316,748
"29-01",88758,74501,1072,497,437,493,103,2917,13519,7850,681,8759,23862,13285,1026
"29-02",78509,61037,1251,37,279,424,85,2058,9703,8027,408,7504,17565,13015,681
"29-03",89479,74426,1398,286,459,529,99,3373,13184,8275,750,10549,21014,13609,901
"29-04",82219,68467,1056,417,463,382,127,2449,12675,7320,749,8422,19452,13985,970
"29-05",94400,79781,1238,467,463,408,123,3491,15141,8477,771,10734,23568,13909,991
"29-06",89304,74124,1127,499,533,509,108,3094,12645,7622,1039,10802,20195,14586,1365
"29-07",80529,66318,1088,514,486,404,101,2600,11489,6353,878,8979,19237,13167,1022
"29-08",87372,71280,1222,581,518,548,111,2755,11609,6857,916,11617,19201,14051,1294
"2A-01",50859,35144,573,398,89,226,51,998,8114,1339,2006,9724,6601,4716,309
"2A-02",57922,39879,635,550,129,259,66,1220,10600,1207,1942,11133,6421,5369,348
"2B-01",58794,40347,634,498,132,237,173,1083,9790,1577,1972,11172,7111,5626,342
"2B-02",66068,43621,872,456,145,245,62,1161,10894,1657,2847,11011,8395,5495,381
"30-01",86922,66688,1085,429,288,725,96,2569,11849,3074,696,18755,12432,14155,535
"30-02",89059,72984,1186,535,293,614,110,3243,12836,2898,918,23899,12445,13425,582
"30-03",93671,76332,1233,485,387,782,126,3528,14034,3602,1070,21892,14669,13836,688
"30-04",91115,73678,1232,552,410,672,116,3110,10895,3305,1146,22123,12969,16404,744
"30-05",95968,77508,1329,557,443,726,122,2815,10887,4150,1363,20056,14041,20072,947
"30-06",81204,63472,967,390,271,577,103,2543,11865,3444,753,16548,12450,13013,548
"31-01",83659,64791,827,397,234,564,108,1944,10411,6148,963,7106,18400,17061,628
"31-02",101370,80117,1095,519,328,685,128,2932,13530,6681,1220,11095,21641,19536,727
"31-03",79396,64386,876,248,207,471,102,1913,15871,5333,861,6377,18467,13189,471
"31-04",71190,52174,699,244,187,474,90,1224,8590,5611,597,4689,13685,15570,514
"31-05",98451,83070,1509,623,407,686,156,4115,12536,5299,1600,18274,19367,17652,846
"31-06",111612,93783,1384,747,411,754,162,3932,13630,7298,1562,15952,26580,20529,842
"31-07",99799,82824,1480,640,441,626,149,3627,11505,6089,1738,18857,18566,18256,850
"31-08",85552,68677,1244,726,371,526,125,2706,9726,5025,3184,15719,14213,14319,793
"31-09",80368,62324,925,408,281,563,123,2036,8618,5918,984,9246,15729,16819,674
"31-10",95256,83212,1350,546,300,609,146,3376,14139,6748,1729,12790,23373,17346,760
"32-01",73499,61848,1125,546,344,537,92,2606,10108,5103,2631,11204,14525,12388,639
"32-02",71460,60084,1041,537,333,500,96,2772,11204,4424,2428,12183,13250,10701,615
"33-01",95058,74906,970,343,233,666,115,2115,18270,5888,985,7117,23142,14176,886
"33-02",65979,51388,606,213,116,404,65,1030,10619,5664,564,3035,16118,12344,610
"33-03",80997,62407,922,347,244,598,122,1922,7349,6549,1025,6935,17346,18090,958
"33-04",93636,71151,1148,479,395,720,136,2958,8480,5774,1172,13794,17129,17714,1252
"33-05",110593,89627,1483,649,467,642,126,4239,13132,5383,1761,21123,20493,18330,1799
"33-06",103656,84280,1267,502,324,686,139,3591,13455,6930,1266,11566,25626,17740,1188
